,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1,Telequinesis1,Magnetismo1,Cosmica1,Cuantica1,Presion1,Aura1,Electricidad1,Poderes1,NoLoSe1,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2,Telequinesis2,Magnetismo2,Cosmica2,Cuantica2,Presion2,Aura2,Electricidad2,Poderes2,NoLoSe2,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen
11,['31662'],1003,18-24,Agro/Vet,Univ en curso,Podria,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,4,0,4,0,0,4,0,4,0,0,0,7,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Null,NS/NC,NS/NC,0,0,4,0,0,0,0,4,0,0,NS/NC,4,3,1,4,2,2,1,1,1,2,1,2,1,0,0,1,2,1,data_CBCBio07
12,['65517'],1003,18-24,Cs_Medicas,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,4,0,0,0,0,0,5,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,5,0,5,0,0,0,0,0,0,0,No,3,3,1,4,1,1,1,4,0,1,1,1,3,3,3,3,3,3,data_CBCBio07
13,['20277'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,6,7,2,7,7,7,6,6,7,1,0,9,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Null,6,6,7,6,7,6,6,7,7,1,No,3,4,3,3,2,1,1,4,3,2,2,4,3,1,4,3,3,1,data_CBCBio07
14,['36560'],1003,18-24,Cs_Medicas,Univ en curso,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Podria,1,7,4,7,7,5,6,2,7,7,0,9,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,Podria,NS/NC,Podria,3,7,1,7,7,5,5,4,7,7,NoSe,2,3,2,Null,2,1,2,2,2,3,2,3,3,2,Null,1,3,3,data_CBCBio07
15,['28522'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,6,7,1,7,4,2,6,3,7,4,0,10,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,3,7,1,6,6,5,6,2,7,4,Si,4,3,3,4,4,2,2,4,3,4,2,2,4,4,3,1,3,3,data_CBCBio07
16,['41975'],1003,18-24,Cs_Medicas,Univ en curso,Podria,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,2,7,4,2,4,4,4,1,7,0,0,0,Podria,NS/NC,NS/NC,Podria,Podria,NS/NC,Podria,Es,NS/NC,NS/NC,2,7,4,4,4,2,1,1,7,0,Si,4,0,1,4,1,1,0,3,1,0,1,4,0,1,4,2,3,3,data_CBCBio07
17,['30674'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,6,7,0,6,4,3,6,3,1,0,0,6,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,5,6,2,7,5,6,6,2,6,0,No,3,2,3,Null,1,1,1,4,1,1,1,2,2,3,3,3,2,1,data_CBCBio07
18,['26094'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,NS/NC,Null,NS/NC,NS/NC,Podria,Podria,Podria,NS/NC,NS/NC,6,7,1,4,5,6,3,4,7,0,0,9,NS/NC,Podria,Podria,NS/NC,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,5,5,2,6,6,7,1,4,3,0,NoSe,2,3,3,4,3,1,4,4,1,2,1,3,2,3,4,4,2,1,data_CBCBio07
19,['33506'],1003,18-24,Cs_Medicas,Univ en curso,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,5,0,4,6,6,4,5,1,7,4,0,5,NS/NC,Podria,Null,NS/NC,NS/NC,NS/NC,Podria,Es,NS/NC,NS/NC,4,3,1,3,3,5,4,1,6,7,NoSe,3,Null,NS/NC,4,3,3,2,3,2,3,3,3,2,2,4,4,3,2,data_CBCBio07
20,['27222'],1003,18-24,Cs_Medicas,Univ en curso,Es,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,3,0,0,0,6,0,0,0,0,0,0,10,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,4,0,0,0,0,0,0,0,No,4,2,3,3,1,2,1,4,3,2,1,2,1,1,1,2,3,1,data_CBCBio07
