,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1,Telequinesis1,Magnetismo1,Cosmica1,Cuantica1,Presion1,Aura1,Electricidad1,Poderes1,NoLoSe1,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2,Telequinesis2,Magnetismo2,Cosmica2,Cuantica2,Presion2,Aura2,Electricidad2,Poderes2,NoLoSe2,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen
24,['36180'],1003,18-24,Mate/Comp/Sist,Univ en curso,Es,NS/NC,Podria,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,1,7,6,7,7,4,0,0,7,0,0,9,Podria,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Es,6,7,0,7,0,6,7,2,7,1,Si,0,1,3,4,2,1,0,4,1,2,3,2,3,0,3,3,3,3,data_CBCF03Ariel
25,['65326'],1003,25-40,Bio/Qui/Geo/Pale,Terciario,NS/NC,NS/NC,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,6,7,5,7,3,7,7,7,7,7,0,10,NS/NC,NS/NC,NS/NC,NS/NC,Podria,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,3,2,7,7,7,7,Si,3,4,4,4,1,0,0,3,0,3,3,2,4,1,2,3,3,3,data_CBCF03Ariel
26,['37597'],1003,18-24,Bio/Qui/Geo/Pale,Univ en curso,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,1,7,4,7,7,4,7,4,7,1,0,1,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,4,7,4,7,7,4,7,4,7,1,No,2,3,3,3,3,2,1,2,1,3,3,3,3,2,3,3,3,3,data_CBCF03Ariel
27,['25714'],1003,18-24,Mate/Comp/Sist,Secundaria,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,1,7,5,7,2,2,3,4,7,0,0,1,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,2,7,7,7,1,1,2,4,7,0,Si,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data_CBCF03Ariel
28,['38823'],1003,18-24,Bio/Qui/Geo/Pale,Terciario,Podria,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,4,7,4,7,7,7,7,0,7,0,0,6,Podria,NS/NC,Podria,NS/NC,NS/NC,Podria,NS/NC,NS/NC,Podria,Es,4,7,4,7,7,4,7,7,7,0,Si,1,1,1,2,2,2,1,3,2,1,1,1,1,1,1,1,3,2,data_CBCF03Ariel
29,['34318'],1003,18-24,Mate/Comp/Sist,Univ en curso,NS/NC,Podria,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,0,7,1,0,0,0,0,0,7,0,0,7,NS/NC,Podria,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,0,7,0,0,0,3,0,0,7,0,Si,3,3,1,3,1,0,NS/NC,NS/NC,0,2,4,3,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,4,data_CBCF03Ariel
30,['44327'],1003,18-24,Bio/Qui/Geo/Pale,Secundaria,NS/NC,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,6,7,2,0,0,3,7,0,0,0,1,5,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,1,0,0,0,0,No,3,2,0,4,NS/NC,NS/NC,NS/NC,4,1,3,2,NS/NC,NS/NC,2,NS/NC,3,2,2,data_CBCF03Ariel
31,['20767'],1003,18-24,Bio/Qui/Geo/Pale,Secundaria,NS/NC,NS/NC,Null,Podria,Podria,Podria,NS/NC,NS/NC,NS/NC,NS/NC,7,7,3,4,4,4,0,0,0,0,0,9,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,1,0,0,0,0,Si,3,3,3,3,2,1,Null,4,1,2,1,4,4,3,3,2,2,2,data_CBCF03Ariel
32,['55875'],1003,18-24,Fisica/CsAt/Ocea,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,Podria,NS/NC,NS/NC,NS/NC,NS/NC,5,7,4,7,2,2,6,3,7,4,0,9,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,3,7,2,6,2,2,4,2,7,4,NS/NC,2,2,2,3,3,1,0,3,1,3,2,2,3,1,2,2,2,2,data_CBCF03Ariel
33,['65235'],1003,25-40,Bio/Qui/Geo/Pale,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,1,0,0,0,0,0,0,0,0,1,0,2,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,0,2,0,0,0,0,0,0,0,1,No,3,4,3,4,4,1,1,4,1,4,NS/NC,3,3,1,3,4,3,2,data_CBCF03Ariel
34,['33017'],1003,18-24,Fisica/CsAt/Ocea,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,7,7,2,7,6,4,4,2,7,0,0,9,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,Es,NS/NC,NS/NC,6,7,3,7,7,4,2,2,7,0,No,3,0,4,4,4,2,2,3,1,2,2,1,4,2,2,3,3,2,data_CBCF03Ariel
0,['49003'],1003,18-24,Fisica/CsAt/Ocea,Univ en curso,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,0,7,5,7,7,1,7,4,7,1,0,8,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,1,7,7,0,7,1,7,4,0,7,Si,1,0,2,4,0,0,0,3,0,0,4,0,4,0,4,3,4,0,data_Dia1
1,['27446'],1003,13-17,Null,Secundaria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,4,5,3,4,7,0,0,2,6,5,0,4,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,2,0,0,0,0,0,0,NoSe,4,4,3,3,2,1,NS/NC,3,3,2,2,2,2,2,4,2,3,4,data_Dia1
2,['24848'],1003,18-24,Fisica/CsAt/Ocea,Univ en curso,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,7,7,6,7,7,7,7,0,7,0,1,10,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,7,7,7,7,7,2,7,6,7,7,Si,3,2,Null,2,2,0,0,4,0,2,3,2,4,0,0,1,2,2,data_Dia1
3,['21792'],1003,13-17,Danza/Deportes,Primaria,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,1,1,4,4,4,1,2,0,0,0,10,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,4,0,4,4,0,4,2,7,NoSe,3,NS/NC,NS/NC,4,NS/NC,NS/NC,NS/NC,4,NS/NC,NS/NC,NS/NC,4,Null,NS/NC,NS/NC,NS/NC,NS/NC,3,data_Dia1
4,['35625'],1003,13-17,Economicas,Secundaria,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,1,3,0,3,1,0,0,0,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,0,0,0,0,0,0,0,0,1,0,NoSe,4,3,1,3,3,Null,NS/NC,1,1,2,3,4,4,3,3,3,2,3,data_Dia1
5,['27711'],1003,13-17,Economicas,Secundaria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,1,0,0,0,0,0,0,0,0,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,data_Dia1
6,['57947'],1003,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,data_Dia1
7,['21059'],1003,>40,Fisica/CsAt/Ocea,Posgrado,Null,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,3,7,7,7,7,7,7,7,7,7,1,1,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,5,7,7,7,7,3,7,7,7,5,Si,2,3,3,3,3,1,1,3,1,4,3,2,3,1,2,3,2,4,data_Dia1
8,['48402'],1003,25-40,Mate/Comp/Sist,Universidad,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,1,7,3,7,7,3,7,1,7,4,1,5,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,1,7,7,7,7,Si,3,3,4,4,4,1,0,3,0,4,4,2,4,0,3,4,3,4,data_Dia1
9,['65380'],1003,25-40,Fisica/CsAt/Ocea,Universidad,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,2,7,7,7,7,7,7,6,7,4,0,8,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,1,7,7,7,7,Si,3,3,2,4,4,1,0,4,0,3,3,3,2,0,2,3,2,3,data_Dia1
10,['44874'],1003,25-40,Fisica/CsAt/Ocea,Universidad,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,2,7,7,7,7,1,7,7,7,7,0,1,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,1,7,7,7,7,Si,3,3,3,4,3,1,1,3,1,2,3,1,3,1,3,3,3,3,data_Dia1
11,['49885'],1003,25-40,Fisica/CsAt/Ocea,Universidad,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Podria,3,7,1,7,7,5,7,4,7,3,1,1,Podria,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,Podria,4,7,3,7,7,3,7,5,7,3,Si,3,4,4,3,4,0,1,4,0,4,3,2,4,0,0,2,3,4,data_Dia1
12,['26747'],1003,25-40,Fisica/CsAt/Ocea,Univ en curso,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,3,7,6,7,7,5,7,0,1,5,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,Podria,NS/NC,6,7,5,7,6,2,6,5,1,7,No,2,NS/NC,3,3,4,2,2,3,1,4,3,0,3,Null,1,2,Null,0,data_Dia1
13,['29222'],1003,25-40,Fisica/CsAt/Ocea,Univ en curso,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,Es,4,7,7,7,7,3,7,7,7,1,0,1,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,1,7,7,7,7,NoSe,2,3,NS/NC,4,3,2,1,3,1,3,3,3,3,1,2,4,3,3,data_Dia1
14,['60310'],1003,25-40,Fisica/CsAt/Ocea,Univ en curso,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,2,7,5,7,7,6,7,2,7,0,0,1,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,1,7,7,7,7,Si,4,3,2,4,4,1,0,4,1,3,3,2,3,1,3,2,3,3,data_Dia1
15,['47032'],1003,25-40,Fisica/CsAt/Ocea,Universidad,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,1,7,4,7,7,4,7,4,1,7,1,10,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,0,7,7,7,1,7,7,7,0,No,2,4,2,3,4,2,0,1,0,4,0,0,2,0,0,4,4,4,data_Dia1
16,['17178'],1003,25-40,Fisica/CsAt/Ocea,Univ en curso,Es,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,4,7,4,7,4,6,7,7,7,7,0,5,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,7,7,7,7,7,4,7,7,7,1,Si,4,2,3,4,4,2,2,4,1,4,4,0,3,0,1,2,3,3,data_Dia1
17,['20038'],1003,18-24,Null,Secundaria,NS/NC,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,4,7,1,7,7,2,7,2,7,1,0,8,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,6,7,2,7,7,6,7,0,7,7,Si,2,4,3,3,3,0,0,4,1,2,NS/NC,3,3,0,4,3,0,1,data_Dia1
18,['57382'],1003,18-24,Fisica/CsAt/Ocea,Univ en curso,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,7,7,5,7,7,7,7,6,7,0,0,6,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,7,7,5,7,7,7,7,7,7,0,Si,1,2,3,3,2,0,0,3,0,1,3,3,3,0,3,3,3,1,data_Dia1
19,['19379'],1003,18-24,Null,Secundaria,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,4,7,1,7,6,6,7,2,7,7,0,9,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,7,7,6,7,6,7,7,6,7,2,NS/NC,2,4,3,4,4,0,0,4,0,4,2,3,3,0,4,3,2,2,data_Dia1
20,['32199'],1003,25-40,Fisica/CsAt/Ocea,Univ en curso,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,Es,3,7,5,7,4,3,7,4,7,1,0,1,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,7,7,7,7,7,1,7,7,7,4,No,3,1,2,4,2,0,0,2,0,2,2,3,4,0,4,3,2,2,data_Dia1
21,['33925'],1003,25-40,Fisica/CsAt/Ocea,Universidad,Podria,NS/NC,Podria,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,0,0,0,0,0,0,0,0,0,0,1,5,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,1,0,0,0,0,NoSe,Null,3,2,2,NS/NC,2,3,NS/NC,1,2,2,3,2,2,3,3,1,2,data_Dia1
22,['47762'],1003,25-40,Fisica/CsAt/Ocea,Universidad,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,3,3,3,5,5,3,5,5,3,1,0,5,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,4,4,4,4,4,4,4,4,4,4,NoSe,2,0,2,3,3,2,2,2,1,2,2,2,3,1,3,2,1,1,data_Dia1
23,['18200'],1003,25-40,Fisica/CsAt/Ocea,Universidad,NS/NC,NS/NC,Podria,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,5,7,3,7,7,1,7,3,7,4,0,10,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,1,7,7,7,7,Si,4,2,3,4,1,0,3,4,1,2,2,1,1,1,4,4,1,1,data_Dia1
24,['25180'],1003,25-40,Fisica/CsAt/Ocea,Universidad,Podria,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,NS/NC,5,0,2,0,0,5,0,5,0,0,0,10,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,2,0,0,0,0,Si,3,3,3,3,3,3,1,3,1,3,3,3,3,1,3,3,3,3,data_Dia1
25,['62772'],1003,18-24,Fisica/CsAt/Ocea,Universidad,Podria,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,4,7,4,7,7,5,7,5,7,1,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,1,7,7,7,0,NS/NC,1,3,3,3,1,0,0,4,0,2,3,3,3,0,3,3,2,1,data_Dia1
26,['24609'],1003,25-40,Null,Posgrado,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,5,7,1,6,6,6,7,5,7,0,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,Es,7,7,7,7,7,7,7,7,7,1,NS/NC,4,3,3,4,2,2,2,3,2,2,2,NS/NC,3,2,3,2,2,2,data_Dia1
27,['60539'],1003,25-40,Fisica/CsAt/Ocea,Universidad,NS/NC,Podria,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,0,4,1,0,0,0,0,0,4,0,0,10,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,0,1,0,0,0,0,0,0,1,0,Si,3,0,3,4,3,3,2,3,2,2,3,4,2,2,4,2,4,2,data_Dia1
28,['60632'],1003,25-40,Ingenieria (no sist),Posgrado,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,7,0,0,7,7,7,7,7,7,0,5,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,7,7,0,7,7,7,7,0,7,1,NoSe,4,3,4,3,Null,NS/NC,3,3,3,3,3,3,3,3,3,3,3,3,data_Dia1
29,['65008'],1003,25-40,Fisica/CsAt/Ocea,Univ en curso,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,0,0,0,0,0,3,0,0,0,1,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,0,0,0,0,0,0,0,0,0,3,Si,1,3,0,4,4,0,0,4,0,4,3,3,3,0,2,4,2,4,data_Dia1
30,['20877'],1003,25-40,Profesorado Naturales,Univ en curso,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,4,7,0,4,7,5,5,7,7,7,0,0,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,7,7,5,7,7,7,7,0,7,1,No,3,3,3,3,2,1,1,3,1,1,2,3,3,1,2,3,3,2,data_Dia1
31,['19114'],1003,25-40,Ingenieria (no sist),Universidad,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,1,7,4,7,7,6,7,7,7,4,0,10,Podria,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,4,7,0,7,7,7,0,2,7,3,Si,2,4,4,4,4,2,2,4,1,3,3,3,4,2,NS/NC,4,2,3,data_Dia1
32,['53861'],1003,25-40,Ingenieria (no sist),Posgrado,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,5,7,6,7,7,3,7,6,7,4,0,4,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,3,7,7,7,7,Si,0,1,4,3,3,0,1,4,3,2,3,3,3,1,1,1,3,2,data_Dia1
33,['16506'],1003,25-40,Ingenieria (no sist),Posgrado,Podria,NS/NC,Es,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,6,7,2,6,6,6,7,6,7,6,0,3,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,7,7,1,7,7,7,7,7,7,7,NS/NC,2,3,2,3,2,3,1,3,2,2,1,NS/NC,2,1,3,3,3,2,data_Dia1
34,['53062'],1003,25-40,Fisica/CsAt/Ocea,Univ en curso,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Podria,NS/NC,Es,2,0,0,0,0,7,0,2,0,0,0,10,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,7,7,7,7,7,1,7,7,7,7,Si,3,3,2,3,3,NS/NC,NS/NC,3,3,4,3,3,3,NS/NC,2,4,2,2,data_Dia1
35,['53496'],1003,25-40,Fisica/CsAt/Ocea,Universidad,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,6,7,7,7,7,1,7,5,7,7,0,1,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,6,7,7,7,7,5,7,7,7,7,NoSe,2,3,3,3,2,Null,1,3,1,3,3,4,2,1,2,3,1,2,data_Dia1
36,['30589'],1003,18-24,Arq/Diseno,Univ en curso,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,0,0,3,0,0,0,0,2,0,0,0,5,NS/NC,NS/NC,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,NS/NC,0,0,3,0,2,0,0,0,6,0,Si,2,1,0,4,3,2,0,4,2,2,3,1,2,2,3,4,3,3,data_Dia1
37,['39914'],1003,18-24,Arq/Diseno,Univ en curso,NS/NC,NS/NC,NS/NC,NS/NC,Podria,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,5,4,0,0,0,0,0,7,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,0,0,0,0,5,0,4,0,0,0,NS/NC,2,3,2,4,3,1,2,4,2,3,1,3,1,3,4,3,2,3,data_Dia1
38,['30367'],1003,18-24,Arq/Diseno,Univ en curso,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,0,3,0,5,0,0,0,0,0,1,0,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,0,0,0,1,0,0,0,3,0,0,NoSe,3,3,3,3,3,2,2,3,0,4,2,4,3,3,4,3,3,2,data_Dia1
39,['57781'],1003,18-24,Arq/Diseno,Univ en curso,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,0,0,4,0,0,0,5,0,0,0,0,4,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,Podria,NS/NC,7,7,7,7,7,7,1,7,4,7,NoSe,3,2,1,4,3,2,1,3,0,2,2,4,2,2,3,2,3,2,data_Dia1
40,['15840'],1003,18-24,Arq/Diseno,Univ en curso,Podria,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,4,2,5,3,0,1,3,4,7,0,0,4,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,Es,NS/NC,NS/NC,4,3,2,5,4,2,5,2,5,0,Si,3,4,4,4,4,3,1,4,1,4,2,2,Null,1,3,4,4,4,data_Dia1
41,['28684'],1003,18-24,Arq/Diseno,Univ en curso,Es,NS/NC,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,4,7,4,6,3,3,6,7,7,7,0,6,NS/NC,NS/NC,NS/NC,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,5,5,3,3,5,3,0,0,6,7,No,4,0,3,4,3,2,3,4,0,2,1,0,4,3,Null,3,3,3,data_Dia1
42,['56746'],1003,18-24,Arq/Diseno,Univ en curso,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,0,7,7,7,7,7,7,7,7,7,0,5,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,7,7,1,7,7,7,7,7,7,7,No,3,0,0,2,0,0,4,4,3,4,1,3,4,3,4,4,3,4,data_Dia1
43,['58135'],1003,18-24,Arq/Diseno,Univ en curso,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,1,0,0,0,0,0,1,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,NS/NC,0,0,0,0,0,1,0,0,0,0,NS/NC,2,2,1,4,3,2,2,2,0,2,2,4,3,2,4,2,2,3,data_Dia1
0,['41929'],1003,25-40,Mate/Comp/Sist,Univ en curso,Podria,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,3,7,7,7,7,2,7,7,7,1,1,1,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,Es,NS/NC,NS/NC,NS/NC,Podria,7,7,7,7,7,2,7,7,7,1,Si,2,3,3,3,4,2,0,3,0,4,4,2,3,0,1,3,4,3,data_Dia2
