,questionnaire_id,global_id,Edad,Profesion,Estudios,Calor1_Escala,Telequinesis1_Escala,Magnetismo1_Escala,Cosmica1_Escala,Cuantica1_Escala,Presion1_Escala,Aura1_Escala,Electricidad1_Escala,Poderes1_Escala,NoLoSe1_Escala,Comentario,RelevanciaMano,Calor2_Escala,Telequinesis2_Escala,Magnetismo2_Escala,Cosmica2_Escala,Cuantica2_Escala,Presion2_Escala,Aura2_Escala,Electricidad2_Escala,Poderes2_Escala,NoLoSe2_Escala,HayTruco?,Bailar,Cocinar,Matematica,TV,Construir,Oficina,Tarot,Leer,Religion,Reparar,Programar,Correr,Acertijos,Astrologia,Deportes,Debatir,Magia,Electronica,Origen,Justificacion1,Podria1,Justificacion2,Podria2
0,['38531'],1003,18-24,Musica,Univ en curso,0.7142857142857143,Ns/Nc,0.7142857142857143,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0,10,0.7142857142857143,Ns/Nc,0.7142857142857143,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Si,1,2,3,4,2,2,2,3,2,3,3,1,1,2,3,2,2,2,data_CBCF03Ariel,Calor,['Magnetismo'],Calor,['Magnetismo']
1,['19541'],1003,18-24,Ingenieria (no sist),Univ en curso,1.0,1.0,0.42857142857142855,0.8571428571428571,0.42857142857142855,1.0,1.0,0.2857142857142857,1.0,1.0,0,9,1.0,1.0,0.2857142857142857,0.5714285714285714,0.42857142857142855,1.0,1.0,0.2857142857142857,1.0,1.0,No,4,3,2,3,2,2,1,2,3,2,1,3,3,4,4,Null,3,2,data_CBCF03Ariel,Electricidad,"['Magnetismo', 'Cosmica', 'Cuantica']",Null,"['Cosmica', 'Cuantica']"
2,['42041'],1003,25-40,Bio/Qui/Geo/Pale,Secundaria,Ns/Nc,Ns/Nc,0.2857142857142857,1.0,0.8571428571428571,0.5714285714285714,1.0,0.8571428571428571,1.0,Ns/Nc,0,1,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,1.0,0.2857142857142857,1.0,Ns/Nc,No,3,3,3,4,2,0,1,3,1,1,1,3,3,3,Null,3,3,3,data_CBCF03Ariel,Calor,['Magnetismo'],Magnetismo,['Calor']
3,['36541'],1003,18-24,Mate/Comp/Sist,Univ en curso,0.2857142857142857,1.0,0.42857142857142855,1.0,0.8571428571428571,0.5714285714285714,1.0,0.14285714285714285,1.0,0.2857142857142857,0,8,0.8571428571428571,1.0,0.8571428571428571,1.0,1.0,0.14285714285714285,1.0,0.8571428571428571,1.0,1.0,Si,1,2,3,3,3,0,0,3,0,3,4,2,4,3,3,3,2,3,data_CBCF03Ariel,Electricidad,['Calor'],Presion,[]
4,['44983'],1003,18-24,Mate/Comp/Sist,Univ en curso,0.14285714285714285,1.0,0.42857142857142855,0.8571428571428571,0.8571428571428571,0.5714285714285714,1.0,0.8571428571428571,1.0,1.0,0,6,Ns/Nc,Ns/Nc,Ns/Nc,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.42857142857142855,1.0,1.0,NoSe,2,2,3,4,2,2,1,4,0,1,3,4,3,2,2,2,3,3,data_CBCF03Ariel,Calor,['Magnetismo'],Ns/Nc,['Presion']
5,['16811'],1003,NS/NC,NS/NC,NS/NC,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0,0,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,data_CBCF03Ariel,Ns/Nc,[],Ns/Nc,[]
6,['25729'],1003,18-24,Mate/Comp/Sist,Univ en curso,0.2857142857142857,1.0,0.7142857142857143,1.0,0.8571428571428571,1.0,1.0,1.0,1.0,Ns/Nc,0,0,0.5714285714285714,1.0,0.42857142857142855,1.0,0.5714285714285714,0.8571428571428571,1.0,0.5714285714285714,1.0,Ns/Nc,NS/NC,3,2,3,3,1,2,0,1,1,2,2,3,3,0,4,2,3,3,data_CBCF03Ariel,Ns/Nc,[],Magnetismo,"['Calor', 'Electricidad']"
7,['15839'],1003,18-24,Bio/Qui/Geo/Pale,Univ en curso,0.2857142857142857,1.0,0.5714285714285714,1.0,0.5714285714285714,0.5714285714285714,1.0,0.7142857142857143,1.0,Ns/Nc,0,1,Ns/Nc,Ns/Nc,0.2857142857142857,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,NoSe,3,1,3,4,3,1,0,4,0,NS/NC,1,1,2,2,2,4,4,1,data_CBCF03Ariel,Ns/Nc,"['Magnetismo', 'Cuantica', 'Presion']",Magnetismo,[]
8,['34220'],1003,18-24,Fisica/CsAt/Ocea,Secundaria,0.2857142857142857,1.0,0.42857142857142855,0.8571428571428571,0.7142857142857143,0.7142857142857143,1.0,0.5714285714285714,1.0,0.7142857142857143,0,7,0.7142857142857143,1.0,0.7142857142857143,1.0,1.0,0.2857142857142857,1.0,1.0,1.0,0.8571428571428571,NS/NC,1,2,4,3,2,2,3,3,1,2,1,2,3,0,2,3,3,2,data_CBCF03Ariel,Calor,"['Magnetismo', 'Electricidad']",Presion,['Magnetismo']
9,['57426'],1003,18-24,Fisica/CsAt/Ocea,Secundaria,1.0,1.0,0.2857142857142857,1.0,0.7142857142857143,0.5714285714285714,1.0,0.42857142857142855,1.0,0.5714285714285714,0,0,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0.14285714285714285,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Si,2,2,4,3,3,1,0,4,0,3,3,3,4,0,3,3,2,3,data_CBCF03Ariel,Magnetismo,['Electricidad'],Presion,[]
10,['50621'],1003,18-24,Fisica/CsAt/Ocea,Secundaria,0.5714285714285714,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,0.42857142857142855,Ns/Nc,Ns/Nc,Ns/Nc,0,5,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,Ns/Nc,NoSe,NS/NC,NS/NC,4,3,NS/NC,NS/NC,NS/NC,3,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,NS/NC,3,data_CBCF03Ariel,Aura,['Calor'],Ns/Nc,[]
